,Repository,block_type,Classification
0,self-driving-car-using-ros,F,A
1,self-driving-car-using-ros,F,A
2,self-driving-car-using-ros,F,A
3,self-driving-car-using-ros,F,A
4,self-driving-car-using-ros,F,A
5,self-driving-car-using-ros,F,A
6,self-driving-car-using-ros,F,A
7,self-driving-car-using-ros,F,A
8,self-driving-car-using-ros,M,A
9,self-driving-car-using-ros,M,A
10,self-driving-car-using-ros,C,A
11,self-driving-car-using-ros,M,A
12,self-driving-car-using-ros,M,A
13,self-driving-car-using-ros,M,A
14,self-driving-car-using-ros,M,A
15,self-driving-car-using-ros,M,A
16,self-driving-car-using-ros,M,A
17,self-driving-car-using-ros,M,A
18,self-driving-car-using-ros,M,A
19,self-driving-car-using-ros,M,A
20,self-driving-car-using-ros,M,A
21,self-driving-car-using-ros,M,A
22,self-driving-car-using-ros,M,A
23,self-driving-car-using-ros,M,A
24,self-driving-car-using-ros,M,A
25,self-driving-car-using-ros,M,A
26,self-driving-car-using-ros,M,A
27,self-driving-car-using-ros,M,A
28,self-driving-car-using-ros,M,A
29,self-driving-car-using-ros,M,A
30,self-driving-car-using-ros,C,A
31,self-driving-car-using-ros,M,A
32,self-driving-car-using-ros,M,A
33,self-driving-car-using-ros,M,A
34,self-driving-car-using-ros,M,A
35,self-driving-car-using-ros,M,A
36,self-driving-car-using-ros,M,A
37,self-driving-car-using-ros,M,A
38,self-driving-car-using-ros,M,A
39,self-driving-car-using-ros,M,A
40,self-driving-car-using-ros,M,A
41,self-driving-car-using-ros,C,A
42,self-driving-car-using-ros,M,A
43,self-driving-car-using-ros,M,A
44,self-driving-car-using-ros,M,A
45,self-driving-car-using-ros,M,A
46,self-driving-car-using-ros,M,A
47,self-driving-car-using-ros,M,A
48,self-driving-car-using-ros,C,A
49,self-driving-car-using-ros,M,A
50,self-driving-car-using-ros,M,A
51,self-driving-car-using-ros,M,A
52,self-driving-car-using-ros,C,A
53,self-driving-car-using-ros,M,A
54,self-driving-car-using-ros,M,A
55,self-driving-car-using-ros,M,A
56,self-driving-car-using-ros,M,A
57,self-driving-car-using-ros,C,A
58,self-driving-car-using-ros,M,A
59,self-driving-car-using-ros,M,A
60,self-driving-car-using-ros,M,A
61,self-driving-car-using-ros,C,A
62,self-driving-car-using-ros,M,A
63,self-driving-car-using-ros,M,A
64,self-driving-car-using-ros,M,A
65,self-driving-car-using-ros,M,A
66,self-driving-car-using-ros,M,A
67,self-driving-car-using-ros,M,B
68,self-driving-car-using-ros,C,A
69,self-driving-car-using-ros,M,A
70,self-driving-car-using-ros,M,A
71,self-driving-car-using-ros,M,A
72,self-driving-car-using-ros,M,A
73,self-driving-car-using-ros,M,A
74,self-driving-car-using-ros,C,A
75,self-driving-car-using-ros,M,A
76,self-driving-car-using-ros,M,A
77,self-driving-car-using-ros,M,A
78,self-driving-car-using-ros,M,A
79,self-driving-car-using-ros,M,A
80,self-driving-car-using-ros,M,A
81,self-driving-car-using-ros,M,A
82,self-driving-car-using-ros,M,A
83,self-driving-car-using-ros,M,A
84,self-driving-car-using-ros,F,A
85,self-driving-car-using-ros,C,A
86,self-driving-car-using-ros,M,A
87,self-driving-car-using-ros,M,A
88,self-driving-car-using-ros,M,A
89,self-driving-car-using-ros,M,A
90,self-driving-car-using-ros,M,A
91,self-driving-car-using-ros,M,A
92,self-driving-car-using-ros,C,A
93,self-driving-car-using-ros,M,A
94,self-driving-car-using-ros,M,A
95,self-driving-car-using-ros,M,A
96,self-driving-car-using-ros,M,A
97,self-driving-car-using-ros,M,A
98,self-driving-car-using-ros,M,A
99,self-driving-car-using-ros,M,B
100,self-driving-car-using-ros,C,A
101,self-driving-car-using-ros,M,A
102,self-driving-car-using-ros,M,A
103,self-driving-car-using-ros,M,A
104,self-driving-car-using-ros,C,A
105,self-driving-car-using-ros,M,A
106,self-driving-car-using-ros,M,A
107,self-driving-car-using-ros,M,A
108,self-driving-car-using-ros,M,A
109,self-driving-car-using-ros,M,A
