,Repository,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
0,self-driving-car-using-ros,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
1,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,self-driving-car-using-ros,5,24,14,28,29,42,121.64874049174458,204.03520179535806,2.9166666666666665,595.1026719031277,33.06125955017376,0.06801173393178601
3,self-driving-car-using-ros,7,20,18,33,27,51,106.09004635215048,242.49926261033693,5.775,1400.4332415746958,77.80184675414976,0.08083308753677898
4,self-driving-car-using-ros,4,15,8,15,19,23,66.60335893412778,97.70233280920246,2.0,195.40466561840492,10.85581475657805,0.03256744426973415
5,self-driving-car-using-ros,3,14,10,20,17,30,58.05785641096992,122.6238852375102,2.142857142857143,262.7654683660933,14.59808157589407,0.040874628412503396
6,self-driving-car-using-ros,6,18,11,22,24,33,90.56842503028855,151.30376252379818,3.6666666666666665,554.78046258726,30.82113681040333,0.05043458750793273
7,self-driving-car-using-ros,4,17,11,20,21,31,77.48686830125578,136.16184010614157,2.3529411764705883,320.3808002497449,17.79893334720805,0.04538728003538052
8,self-driving-car-using-ros,3,4,3,4,7,7,12.75488750216347,19.651484454403228,1.5,29.47722668160484,1.6376237045336022,0.00655049481813441
9,self-driving-car-using-ros,6,17,11,21,23,32,84.99664330558272,144.75398259382442,3.7058823529411766,536.4412296124082,29.802290534022674,0.048251327531274806
10,self-driving-car-using-ros,14,51,32,60,65,92,342.59666134935276,554.0578387986178,8.235294117647058,4562.829260694499,253.4905144830277,0.18468594626620594
11,self-driving-car-using-ros,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
12,self-driving-car-using-ros,4,7,4,7,11,11,27.651484454403228,38.053747805010275,2.0,76.10749561002055,4.228194200556697,0.012684582601670092
13,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,self-driving-car-using-ros,13,27,20,33,40,53,176.48767889424786,282.0621890290302,7.944444444444445,2240.8273906195177,124.49041058997321,0.09402072967634341
15,self-driving-car-using-ros,4,10,6,11,14,17,41.219280948873624,64.72503367497926,2.2,142.3950740849544,7.9108374491641325,0.021575011224993085
16,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
17,self-driving-car-using-ros,8,26,15,30,34,45,146.2114326716684,228.9358278562653,4.615384615384615,1056.6268977981474,58.7014943221193,0.0763119426187551
18,self-driving-car-using-ros,6,39,28,56,45,84,221.64046153995463,461.3156600916927,4.3076923076923075,1987.2059203949837,110.40032891083243,0.15377188669723088
19,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,self-driving-car-using-ros,10,69,52,101,79,153,454.7074684665674,964.4784544710968,7.318840579710145,7058.864050839186,392.15911393551033,0.3214928181570323
21,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
22,self-driving-car-using-ros,11,178,130,240,189,370,1368.7342985170292,2798.029696961797,7.415730337078652,20749.433707806587,1152.746317100366,0.9326765656539323
23,self-driving-car-using-ros,3,5,3,6,8,9,16.36452797660028,27.0,1.8,48.6,2.7,0.009
24,self-driving-car-using-ros,1,5,9,9,6,18,11.60964047443681,46.529325012980806,0.9,41.876392511682724,2.32646625064904,0.015509775004326935
25,self-driving-car-using-ros,12,160,116,182,172,298,1214.5280451906317,2213.026896901225,6.825,15103.908571350861,839.1060317417146,0.7376756323004083
26,self-driving-car-using-ros,6,10,6,12,16,18,48.72905595320056,72.0,3.6,259.2,14.399999999999999,0.024
27,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
28,self-driving-car-using-ros,3,11,6,12,14,18,42.808635307173745,68.53238859703687,1.6363636363636365,112.14390861333307,6.23021714518517,0.022844129532345624
29,self-driving-car-using-ros,15,233,191,381,248,572,1890.958730638575,4549.800289541293,12.263948497854077,55798.516426455986,3099.917579247555,1.5166000965137643
30,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31,self-driving-car-using-ros,11,52,37,68,63,105,334.4766131483471,627.6143919674913,7.1923076923076925,4513.995819150803,250.77754550837795,0.2092047973224971
32,self-driving-car-using-ros,18,261,197,377,279,574,2170.3421151307016,4663.245632989953,13.0,60622.19322886939,3367.8996238260775,1.5544152109966511
33,self-driving-car-using-ros,6,59,45,73,65,118,362.58571491667556,710.6394019373577,3.711864406779661,2637.797102106463,146.54428345035907,0.2368798006457859
34,self-driving-car-using-ros,5,23,15,30,28,45,115.65156546374811,216.33097149259217,3.260869565217391,705.4270809541049,39.19039338633916,0.07211032383086406
35,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36,self-driving-car-using-ros,11,55,36,63,66,99,356.02853204886657,598.3950178164869,6.3,3769.888612243867,209.43825623577038,0.19946500593882896
37,self-driving-car-using-ros,17,156,119,219,173,338,1206.0096144437666,2512.9043409412134,11.932692307692308,29985.714299115825,1665.8730166175458,0.8376347803137378
38,self-driving-car-using-ros,9,314,255,460,323,715,2633.0402401649512,5959.804103606156,6.592356687898089,39289.15444097052,2182.73080227614,1.9866013678687187
39,self-driving-car-using-ros,14,265,271,495,279,766,2186.5128345132057,6223.076924861157,13.075471698113208,81369.66620620343,4520.537011455746,2.074358974953719
40,self-driving-car-using-ros,8,32,24,46,40,70,184.0,372.53496664211536,5.75,2142.076058192163,119.00422545512018,0.12417832221403846
41,self-driving-car-using-ros,3,21,24,48,24,72,96.99355338051744,330.1173000519233,3.4285714285714284,1131.8307430351654,62.87948572417585,0.11003910001730775
42,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
43,self-driving-car-using-ros,16,103,73,135,119,208,752.7095542998715,1434.1220947680522,10.485436893203884,15037.396721839772,835.4109289910984,0.4780406982560174
44,self-driving-car-using-ros,9,27,17,34,36,51,156.9112875713945,263.6661750735579,5.666666666666667,1494.1083254168282,83.00601807871267,0.0878887250245193
45,self-driving-car-using-ros,17,103,73,138,120,211,758.1964226011272,1457.3539156733975,11.388349514563107,16596.85575810578,922.0475421169878,0.4857846385577992
46,self-driving-car-using-ros,7,40,29,53,47,82,232.52860824989773,455.4762858375663,4.6375,2112.271275571714,117.34840419842855,0.1518254286125221
47,self-driving-car-using-ros,9,33,21,39,42,60,194.9943309518098,323.53904536672565,5.318181818181818,1720.6394685412229,95.5910815856235,0.10784634845557521
48,self-driving-car-using-ros,8,27,15,29,35,44,152.38196255841368,225.68845274557853,4.296296296296297,969.6244636476708,53.868025758203935,0.07522948424852617
49,self-driving-car-using-ros,8,46,64,121,54,185,278.0838499786226,1064.6541879002418,10.521739130434783,11202.01362921124,622.3340905117356,0.3548847293000806
50,self-driving-car-using-ros,12,162,133,251,174,384,1232.075250475963,2858.0903024059116,9.296296296296296,26569.654292736435,1476.091905152024,0.9526967674686372
51,self-driving-car-using-ros,3,5,4,8,8,12,16.36452797660028,36.0,2.4,86.39999999999999,4.8,0.012
