,Repository,Classification
0,self-driving-car-using-ros, A
1,self-driving-car-using-ros, A
2,self-driving-car-using-ros, A
3,self-driving-car-using-ros, A
4,self-driving-car-using-ros, A
5,self-driving-car-using-ros, A
6,self-driving-car-using-ros, A
7,self-driving-car-using-ros, A
8,self-driving-car-using-ros, A
9,self-driving-car-using-ros, A
10,self-driving-car-using-ros, A
11,self-driving-car-using-ros, A
12,self-driving-car-using-ros, A
13,self-driving-car-using-ros, A
14,self-driving-car-using-ros, A
15,self-driving-car-using-ros, A
16,self-driving-car-using-ros, A
17,self-driving-car-using-ros, A
18,self-driving-car-using-ros, A
19,self-driving-car-using-ros, A
20,self-driving-car-using-ros, A
21,self-driving-car-using-ros, A
22,self-driving-car-using-ros, A
23,self-driving-car-using-ros, A
24,self-driving-car-using-ros, A
25,self-driving-car-using-ros, B
26,self-driving-car-using-ros, A
27,self-driving-car-using-ros, A
28,self-driving-car-using-ros, A
29,self-driving-car-using-ros, A
30,self-driving-car-using-ros, A
31,self-driving-car-using-ros, A
32,self-driving-car-using-ros, B
33,self-driving-car-using-ros, A
34,self-driving-car-using-ros, A
35,self-driving-car-using-ros, A
36,self-driving-car-using-ros, A
37,self-driving-car-using-ros, A
38,self-driving-car-using-ros, B
39,self-driving-car-using-ros, C
40,self-driving-car-using-ros, A
41,self-driving-car-using-ros, A
42,self-driving-car-using-ros, A
43,self-driving-car-using-ros, A
44,self-driving-car-using-ros, A
45,self-driving-car-using-ros, A
46,self-driving-car-using-ros, A
47,self-driving-car-using-ros, A
48,self-driving-car-using-ros, A
49,self-driving-car-using-ros, A
50,self-driving-car-using-ros, A
51,self-driving-car-using-ros, A
52,self-driving-car-using-ros, A
53,self-driving-car-using-ros, A
54,self-driving-car-using-ros, A
55,self-driving-car-using-ros, A
56,self-driving-car-using-ros, A
57,self-driving-car-using-ros, A
58,self-driving-car-using-ros, A
59,self-driving-car-using-ros, A
60,self-driving-car-using-ros, B
61,self-driving-car-using-ros, A
62,self-driving-car-using-ros, A
63,self-driving-car-using-ros, B
64,self-driving-car-using-ros, A
65,self-driving-car-using-ros, A
66,self-driving-car-using-ros, A
67,self-driving-car-using-ros, A
68,self-driving-car-using-ros, A
69,self-driving-car-using-ros, A
70,self-driving-car-using-ros, A
71,self-driving-car-using-ros, A
72,self-driving-car-using-ros, A
73,self-driving-car-using-ros, A
74,self-driving-car-using-ros, A
75,self-driving-car-using-ros, A
76,self-driving-car-using-ros, C
77,self-driving-car-using-ros, C
78,self-driving-car-using-ros, A
79,self-driving-car-using-ros, C
80,self-driving-car-using-ros, A
81,self-driving-car-using-ros, A
82,self-driving-car-using-ros, A
83,self-driving-car-using-ros, A
84,self-driving-car-using-ros, A
85,self-driving-car-using-ros, A
86,self-driving-car-using-ros, A
87,self-driving-car-using-ros, A
88,self-driving-car-using-ros, A
89,self-driving-car-using-ros, A
90,self-driving-car-using-ros, A
91,self-driving-car-using-ros, A
92,self-driving-car-using-ros, A
93,self-driving-car-using-ros, A
94,self-driving-car-using-ros, B
95,self-driving-car-using-ros, A
96,self-driving-car-using-ros, C
97,self-driving-car-using-ros, C
98,self-driving-car-using-ros, B
99,COLA, A
100,COLA, A
101,COLA, A
102,COLA, A
103,COLA, A
104,COLA, A
105,COLA, A
106,COLA, C
107,COLA, A
108,COLA, A
109,COLA, A
110,COLA, A
111,COLA, A
112,COLA, A
113,COLA, A
114,COLA, A
115,COLA, A
116,COLA, A
117,COLA, A
118,GAIS-Net, A
119,GAIS-Net, A
120,GAIS-Net, A
121,GAIS-Net, A
122,GAIS-Net, A
123,GAIS-Net, A
124,GAIS-Net, A
125,GAIS-Net, A
126,GAIS-Net, A
127,GAIS-Net, A
128,GAIS-Net, A
129,GAIS-Net, A
130,GAIS-Net, A
131,GAIS-Net, A
132,GAIS-Net, A
133,GAIS-Net, A
134,GAIS-Net, A
135,GAIS-Net, A
136,GAIS-Net, A
137,GAIS-Net, A
138,GAIS-Net, A
139,GAIS-Net, A
140,GAIS-Net, A
141,GAIS-Net, A
142,GAIS-Net, A
143,GAIS-Net, A
144,GAIS-Net, A
145,GAIS-Net, A
146,GAIS-Net, A
147,GAIS-Net, A
148,GAIS-Net, A
149,GAIS-Net, A
150,GAIS-Net, A
151,GAIS-Net, A
152,GAIS-Net, A
153,GAIS-Net, A
154,GAIS-Net, A
155,GAIS-Net, A
156,GAIS-Net, A
157,GAIS-Net, A
158,GAIS-Net, A
159,GAIS-Net, A
160,GAIS-Net, A
161,GAIS-Net, A
162,GAIS-Net, A
163,GAIS-Net, A
164,GAIS-Net, A
165,GAIS-Net, A
166,GAIS-Net, A
167,GAIS-Net, A
168,GAIS-Net, A
169,GAIS-Net, A
170,GAIS-Net, A
171,GAIS-Net, A
172,GAIS-Net, A
173,GAIS-Net, A
174,GAIS-Net, A
175,GAIS-Net, A
176,GAIS-Net, A
177,GAIS-Net, A
178,GAIS-Net, A
179,GAIS-Net, A
180,GAIS-Net, A
181,GAIS-Net, A
182,GAIS-Net, A
183,GAIS-Net, A
184,GAIS-Net, A
185,GAIS-Net, A
186,GAIS-Net, A
187,GAIS-Net, A
188,GAIS-Net, A
189,GAIS-Net, A
190,GAIS-Net, A
191,GAIS-Net, A
192,GAIS-Net, A
193,GAIS-Net, A
194,GAIS-Net, A
195,GAIS-Net, A
196,GAIS-Net, A
197,GAIS-Net, A
198,GAIS-Net, A
199,GAIS-Net, A
200,GAIS-Net, A
201,GAIS-Net, A
202,GAIS-Net, A
203,GAIS-Net, A
204,GAIS-Net, A
205,GAIS-Net, A
206,GAIS-Net, A
207,GAIS-Net, A
208,GAIS-Net, A
209,GAIS-Net, A
210,GAIS-Net, A
211,GAIS-Net, A
212,GAIS-Net, A
213,GAIS-Net, A
214,GAIS-Net, A
215,GAIS-Net, A
216,GAIS-Net, A
217,GAIS-Net, A
218,GAIS-Net, A
219,GAIS-Net, A
220,GAIS-Net, A
221,GAIS-Net, A
222,GAIS-Net, A
223,GAIS-Net, A
224,GAIS-Net, A
225,GAIS-Net, A
226,GAIS-Net, A
227,GAIS-Net, A
228,GAIS-Net, A
229,GAIS-Net, A
230,GAIS-Net, A
231,GAIS-Net, A
232,GAIS-Net, A
233,GAIS-Net, A
234,GAIS-Net, A
235,GAIS-Net, A
236,GAIS-Net, A
237,GAIS-Net, A
238,GAIS-Net, A
239,GAIS-Net, A
240,GAIS-Net, A
241,GAIS-Net, A
242,GAIS-Net, A
243,GAIS-Net, A
244,GAIS-Net, A
245,GAIS-Net, A
246,GAIS-Net, A
247,GAIS-Net, A
248,GAIS-Net, A
249,GAIS-Net, A
250,GAIS-Net, A
251,3D-BoundingBox,BoundingBox/Train.py
252,3D-BoundingBox,BoundingBox/Eval.py
253,3D-BoundingBox, A
254,3D-BoundingBox, A
255,RAVEV, A
256,RAVEV, A
257,RAVEV, A
258,RAVEV, A
259,RAVEV, A
260,RAVEV, A
261,RAVEV,repositories/RAVEV/sort/main.py
262,RAVEV, A
263,RAVEV, A
264,RAVEV,repositories/RAVEV/classification_models/image_based_classification_models.py
265,RAVEV, A
266,RAVEV,repositories/RAVEV/classification_models/ravev_feature_classification.py
267,RAVEV, A
268,RAVEV, A
269,RAVEV,repositories/RAVEV/misc_codes/utils.py
270,RAVEV, A
271,RAVEV, A
272,RAVEV, A
273,compact-perception, A
274,compact-perception, A
275,compact-perception, A
276,compact-perception, A
277,compact-perception, A
278,TuSimple-lane-classes, A
279,TuSimple-lane-classes, A
280,DeepTL-Lane-Change-Classification, A
281,DeepTL-Lane-Change-Classification, A
282,DeepTL-Lane-Change-Classification, A
283,DeepTL-Lane-Change-Classification, A
284,DeepTL-Lane-Change-Classification, A
285,DeepTL-Lane-Change-Classification, A
286,DeepTL-Lane-Change-Classification, A
287,DeepTL-Lane-Change-Classification, A
288,DeepTL-Lane-Change-Classification, A
289,DeepTL-Lane-Change-Classification, A
290,DeepTL-Lane-Change-Classification, A
291,DeepTL-Lane-Change-Classification, A
292,DeepTL-Lane-Change-Classification, A
293,DeepTL-Lane-Change-Classification, A
294,DeepTL-Lane-Change-Classification, B
295,DeepTL-Lane-Change-Classification, A
296,DeepTL-Lane-Change-Classification, A
297,DeepTL-Lane-Change-Classification, A
298,SemanticSegmentation, A
299,SemanticSegmentation, A
300,SemanticSegmentation, A
301,torchbox3d, A
302,torchbox3d, A
303,torchbox3d, A
304,torchbox3d, A
305,torchbox3d, A
306,torchbox3d, A
307,torchbox3d, A
308,torchbox3d, A
309,torchbox3d, A
310,torchbox3d, A
311,torchbox3d, A
312,torchbox3d, A
313,torchbox3d, A
314,torchbox3d, A
315,torchbox3d, A
316,torchbox3d, A
317,torchbox3d, A
318,torchbox3d, A
319,torchbox3d, A
320,torchbox3d, A
321,torchbox3d, A
322,torchbox3d, A
323,torchbox3d, A
324,torchbox3d, A
325,torchbox3d, A
326,torchbox3d, A
327,torchbox3d, A
328,torchbox3d, A
329,torchbox3d, A
330,torchbox3d, A
331,torchbox3d, A
332,torchbox3d, A
333,torchbox3d, A
334,torchbox3d, A
335,torchbox3d, A
336,torchbox3d, A
337,torchbox3d, A
338,torchbox3d, A
339,torchbox3d, A
340,torchbox3d, A
341,torchbox3d, A
342,torchbox3d, A
343,torchbox3d, A
344,torchbox3d, A
345,torchbox3d, A
346,torchbox3d, A
347,torchbox3d, A
348,torchbox3d, A
349,torchbox3d, A
350,torchbox3d, A
351,torchbox3d, A
352,torchbox3d, A
353,torchbox3d, A
354,torchbox3d, A
355,torchbox3d, A
356,torchbox3d, A
357,torchbox3d, A
358,torchbox3d, A
359,torchbox3d, A
360,torchbox3d, A
361,torchbox3d, A
362,torchbox3d, A
363,torchbox3d, A
364,torchbox3d, A
365,torchbox3d, A
366,torchbox3d, A
367,torchbox3d, A
368,torchbox3d, A
369,torchbox3d, A
370,torchbox3d, A
371,torchbox3d, A
372,torchbox3d, A
373,torchbox3d, A
374,torchbox3d, A
375,torchbox3d, A
376,torchbox3d, A
377,torchbox3d, A
378,l2r, A
379,l2r, A
380,l2r, A
381,l2r, A
382,l2r, A
383,l2r, A
384,l2r, A
385,l2r, A
386,l2r, A
387,l2r, A
388,l2r, A
389,l2r, A
390,l2r, A
391,l2r, A
392,l2r, A
393,l2r, A
394,l2r, A
395,l2r, A
396,l2r, A
397,l2r, A
398,l2r, A
399,l2r, A
400,l2r, A
401,l2r, A
402,l2r, A
403,l2r, A
404,l2r, A
405,l2r, A
406,l2r, A
407,l2r, A
408,l2r, A
409,l2r, A
410,l2r, A
411,l2r, A
412,l2r, A
413,l2r, A
414,l2r, A
415,Self_Driving, A
416,Self_Driving,repositories/Self_Driving/camera.py
417,Self_Driving, A
418,Self_Driving,repositories/Self_Driving/prets.py
419,Learn_Steering, A
420,Learn_Steering, A
421,Learn_Steering, A
422,Learn_Steering, A
423,Learn_Steering, A
424,Learn_Steering, A
425,Learn_Steering, A
426,RaspberryPI-AutoDrive,AutoDrive/2.Soft/robot.py
427,AutoLaneAssist, A
428,AutoLaneAssist, A
429,AutoLaneAssist, A
430,v2x-vit, A
431,v2x-vit, A
432,v2x-vit, A
433,v2x-vit, A
434,v2x-vit, A
435,v2x-vit, A
436,v2x-vit, A
437,v2x-vit, A
438,v2x-vit, A
439,v2x-vit, A
440,v2x-vit, A
441,v2x-vit, A
442,v2x-vit, A
443,v2x-vit, A
444,v2x-vit, A
445,v2x-vit, A
446,v2x-vit, A
447,v2x-vit, A
448,v2x-vit, A
449,v2x-vit, A
450,v2x-vit, A
451,v2x-vit, A
452,v2x-vit, A
453,v2x-vit, A
454,v2x-vit, A
455,v2x-vit, A
456,v2x-vit, A
457,v2x-vit, A
458,v2x-vit, A
459,v2x-vit, A
460,v2x-vit, A
461,v2x-vit, A
462,v2x-vit, A
463,v2x-vit, A
464,v2x-vit, A
465,v2x-vit, A
466,v2x-vit, A
467,v2x-vit, A
468,v2x-vit, A
469,v2x-vit, A
470,v2x-vit, A
471,v2x-vit, A
472,v2x-vit, A
473,v2x-vit, A
474,v2x-vit, A
475,v2x-vit, A
476,v2x-vit, A
477,v2x-vit, A
478,v2x-vit, A
479,v2x-vit, A
480,v2x-vit, A
481,v2x-vit, A
482,v2x-vit, A
483,v2x-vit, A
484,v2x-vit, A
485,v2x-vit, A
486,v2x-vit, A
487,v2x-vit, A
488,v2x-vit, A
489,v2x-vit, A
490,v2x-vit, A
491,v2x-vit, A
492,v2x-vit, A
493,v2x-vit, A
494,v2x-vit, A
495,v2x-vit, A
496,v2x-vit, A
497,OpenCV_Lanedetection, A
498,Grid-GCN, A
499,Grid-GCN, A
500,Grid-GCN,GCN/classification/models/ggcn_models.py
501,Grid-GCN, A
502,Grid-GCN, A
503,Grid-GCN, A
504,Grid-GCN, A
505,Grid-GCN, A
506,Grid-GCN, A
507,Grid-GCN, A
508,Grid-GCN, A
509,Grid-GCN, A
510,Grid-GCN, A
511,Grid-GCN, A
512,Grid-GCN, A
513,Grid-GCN, A
514,Grid-GCN, A
515,Grid-GCN, A
516,Grid-GCN, A
517,Grid-GCN, A
518,Grid-GCN, A
519,Grid-GCN, A
520,Grid-GCN, A
521,Grid-GCN, A
522,Grid-GCN, A
523,Grid-GCN, A
524,Grid-GCN, A
525,Grid-GCN, A
526,Grid-GCN, A
527,Grid-GCN, A
528,Grid-GCN, A
529,Grid-GCN,GCN/data_processing/prepare_s3dis_label.py
530,Grid-GCN, A
531,Grid-GCN, A
532,Grid-GCN, A
533,Grid-GCN, A
534,Grid-GCN, A
535,Grid-GCN, A
536,Grid-GCN, A
537,Grid-GCN, A
538,Grid-GCN, A
539,Grid-GCN, A
540,Grid-GCN, A
541,Grid-GCN, A
542,Grid-GCN, A
543,Grid-GCN, A
544,Grid-GCN, A
545,Grid-GCN, A
546,Grid-GCN, A
547,aeye, A
548,aeye, A
549,aeye, A
550,aeye, A
551,aeye, A
552,aeye, A
553,aeye, A
554,aeye, A
555,aeye, A
556,aeye, A
557,aeye, B
558,aeye, A
559,aeye, A
560,aeye, A
561,aeye, A
562,aeye, A
563,aeye, A
564,aeye,repositories/aeye/control/openpilot/lateral_planner.py
565,aeye, A
566,aeye, A
567,aeye, A
568,SDC-Behavioral-Cloning, A
569,SDC-Behavioral-Cloning, A
570,SDC-Behavioral-Cloning, A
571,SDC-Behavioral-Cloning, A
572,SDC-Behavioral-Cloning, A
573,Verkehrszeichenerkennung, A
574,Verkehrszeichenerkennung, A
575,Verkehrszeichenerkennung, A
576,Verkehrszeichenerkennung, A
577,Verkehrszeichenerkennung, A
578,Verkehrszeichenerkennung, A
579,Verkehrszeichenerkennung, A
580,Verkehrszeichenerkennung, A
581,Verkehrszeichenerkennung, A
582,Verkehrszeichenerkennung, A
583,Verkehrszeichenerkennung, A
584,Verkehrszeichenerkennung, A
