,Repository,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
0,nuplan-devkit,16.528764343142612,17,14,1,8.216212086139207,98.2176724137931,2420931.6814760044,134496.2045264447,24648.63625841762
1,modulardecision,16.358024691358025,4,2,0,0.4108395454166944,19.833333333333336,24444.95295229332,1358.0529417940734,1232.518636250083
2,SEE-MTDA,3.136830719307734,2,0,0,0.598475859649337,6.611111111111111,11869.771216378516,659.431734243251,1795.427578948011
3,DeepCollision,6.842199534300555,6,5,1,2.4085896719822415,64.80000000000001,468229.8322333479,26012.768457408216,7225.769015946725
4,gta-car-ai,1.1131349929164136,0,14,1,2.526142615670833,33.935483870967744,257177.61596958546,14287.645331643636,7578.427847012499
5,TridentAdapt,6.515478761699064,18,7,1,4.075509657482823,103.23387096774194,1262191.9143251039,70121.77301806133,12226.52897244847
6,SEE-MTDA,7.528641571194763,17,7,1,3.595446040183177,79.44202898550725,856888.5856201777,47604.92142334321,10786.338120549532
7,2020-AWS-Networking-DeepRacer-Cup,45.24539877300614,3,0,0,0.0576257079318315,10.38888888888889,1796.0012305420819,99.77784614122677,172.8771237954945
8,integrated-map-factory,28.870056497175142,1,3,0,0.5059338501182696,21.205882352941174,32186.321111935795,1788.1289506630997,1517.8015503548088
9,talkycars-thesis,35.76131687242798,4,9,1,0.5057143079863239,15.076923076923077,22873.847161227575,1270.7692867348653,1517.1429239589718
10,Autonomous_Truck_Robots,9.409594095940959,4,9,1,0.4476626741017818,17.79591836734694,23899.705213270634,1327.7614007372574,1342.9880223053453
11,Autonomous-Vehicle-System,23.6652977412731,3,10,1,1.8396243984680893,54.96634615384615,303352.294437774,16852.905246543,5518.873195404268
12,openpilot,3.25,5,10,1,0.40363752403324876,13.375,16195.955651834107,899.7753139907837,1210.9125720997463
13,SelfDrivingCarND-AdvancedLaneLines,12.045169385194479,2,3,1,0.12226566668589749,9.3,3411.21210053654,189.51178336314112,366.79700005769246
14,crgeo-learning,21.933679584498602,0,23,1,0.4165381244114337,16.53061224489796,20656.890659587425,1147.6050366437457,1249.614373234301
15,InterFuser,6.112389089714098,13,6,0,1.6262278233712084,40.65217391304348,198329.08889374952,11018.282716319418,4878.683470113625
16,coperception,24.733475479744136,1,4,1,0.09752097998526921,7.03125,2057.0831715642726,114.28239842023737,292.5629399558076
17,DeepEye,58.65771812080537,8,6,1,0.3181467279439469,15.2,14507.490794243977,805.971710791332,954.4401838318406
18,Steering-Prediction-CNN,14.125700062227754,4,11,1,0.4785010824476233,9.672413793103448,13884.781409643965,771.3767449802203,1435.5032473428698
19,End-to-End-Self-Driving-Car,5.909292362239622,2,12,1,5.568891132662923,120.13291139240506,2007021.3149824354,111501.18416569085,16706.67339798877
20,ANTI-CARLA,2.0134228187919465,0,8,1,1.5767716309520945,58.44262295081967,276452.0097218467,15358.44498454704,4730.314892856283
21,OpenCDA,41.88854489164087,10,7,1,1.1304185626237984,33.14864864864865,112415.54327498018,6245.307959721122,3391.2556878713954
22,Frustum-Pointpillars,20.865313196335727,25,21,1,7.7605772644442235,111.046875,2585363.560237739,143631.30890209659,23281.73179333267
23,nuplan-devkit,2.683420296028112,3,12,1,2.938298105155803,16.551724137931036,145901.699014633,8105.649945257388,8814.894315467409
24,EgoNet,14.30162265351575,14,22,1,1.6305665601144614,27.363636363636363,133854.6912530326,7436.371736279589,4891.699680343384
25,sdc-codebase,45.77114427860697,3,3,0,0.23440742893381347,8.666666666666666,6094.59315227915,338.5885084599528,703.2222868014404
26,Torcs_car,15.758176412289396,6,4,0,0.3388210583770835,10.96153846153846,11142.000188938704,619.0000104965947,1016.4631751312504
27,deep-rl-ddpg-self-driving-car,28.250010494060362,100,6,0,8.415972192075168,108.68852459016394,2744158.801645493,152453.26675808296,25247.916576225503
28,QLearning_Autonomous_Vehicle_Experiment,19.694767441860463,10,7,1,1.8527637820742124,77.0,427988.43365914305,23777.135203285725,5558.291346222637
29,Understanding-RL-CARLA,5.315789473684211,18,19,1,2.4164012571992264,25.113636363636363,182053.86744580534,10114.103746989185,7249.2037715976785
30,DI-drive,1.3818181818181818,2,1,0,0.7677898606411026,4.483516483516484,10327.195488183621,573.7330826768679,2303.3695819233076
31,pgdrive,0.20990764063811923,17,9,1,1.4794386482051702,42.657534246575345,189327.61440455753,10518.200800253197,4438.3159446155105
32,Autonomous_Electric_Wheelchair,20.11294526498697,5,4,0,0.608889033323123,22.89795918367347,41826.9486972578,2323.719372069878,1826.667099969369
33,GndNet,33.26926437183295,12,4,0,1.4012666428435998,59.43396226415094,249848.48631833997,13880.471462129999,4203.7999285308
34,bibli3.0,6.896551724137931,1,3,0,0.11394651513889813,6.904761904761905,2360.3206707343184,131.12892615190657,341.83954541669436
35,ROS2-Self-Driving-Car-AI-using-OpenCV,26.393887731262232,16,4,1,5.6263143925113415,84.3989898989899,1424565.7547463186,79142.54193035103,16878.943177534024
36,policydissect,2.3255813953488373,1,6,1,1.2959952594519093,45.38135593220339,176442.06646690614,9802.33702593923,3887.985778355728
37,dgp,43.867924528301884,3,1,0,0.021509775004326936,4.0,258.1173000519232,14.339850002884624,64.5293250129808
38,av2-api,24.283047683692516,0,8,1,2.389688819867423,78.16666666666666,560382.0282589106,31132.334903272815,7169.066459602269
39,ILLUME,0.0,1,6,1,0.05722447977750475,7.875,1351.9283347435496,75.10712970797498,171.67343933251425
40,JPerceiver,37.19711853307138,8,0,0,0.6641983369700006,7.464705882352941,14874.135699087014,826.3408721715008,1992.5950109100017
41,carla-roach,34.274711168164316,6,2,1,0.2596074119346796,21.153846153846153,16475.085757393128,915.282542077396,778.8222358040389
42,SEE-MTDA,6.5479452054794525,0,7,1,0.8816049623465295,20.192307692307693,53404.915988299384,2966.9397771277436,2644.8148870395885
43,nuplan-devkit,21.58590308370044,0,13,1,0.17991672359045152,23.375,12616.660241780412,700.9255689878006,539.7501707713545
44,SEDE,21.79419525065963,11,8,1,2.330089224569839,49.5,346018.249848621,19223.23610270117,6990.267673709516
45,HEVEN_AutonomousCar_2018,19.14301613800779,5,2,0,0.5203223742172194,33.32432432432432,52018.1746548512,2889.898591936178,1560.9671226516582
46,Automated-Vehicles-Research,6.122448979591836,3,2,0,0.07894555522617032,5.055555555555555,1197.3409209302497,66.51894005168054,236.83666567851094
47,adb,10.23153761764536,53,28,1,10.19692438832539,108.14732142857142,3308310.178221195,183795.0099011775,30590.77316497617
48,PGP,26.653944020356235,6,5,1,0.41938923228820485,19.174418604651162,24124.634094531968,1340.2574496962204,1258.1676968646145
49,ReBound,19.203258493939995,6,12,1,3.101193877428225,118.54545454545455,1102897.3134999287,61272.07297221826,9303.581632284675
50,ANTI-CARLA,71.14689967304864,0,9,1,9.599083091688437,410.08333333333337,11809271.9735497,656070.6651972055,28797.249275065307
51,SelfDrivingProject_MiniTesla,32.2723609991942,1,8,1,2.2211073688672265,51.949541284403665,346156.5268681836,19230.91815934353,6663.3221066016795
52,crgeo,0.0,4,12,1,0.3499190837660329,27.666666666666664,29043.28395258073,1613.5157751433737,1049.7572512980987
53,EGPO,11.467038068709378,5,8,1,0.5436301630047511,11.128205128205128,18148.883903389382,1008.2713279660768,1630.8904890142533
54,thesis,0.57997557997558,9,12,0,1.353592305158984,24.81132075471698,100753.23856324889,5597.402142402716,4060.7769154769517
55,av2-api,30.723918772283366,11,13,1,1.2222388825789812,33.39285714285714,122442.14520121577,6802.341400067543,3666.7166477369433
56,RLWithAutonomousDriving,0.0,2,4,1,0.08864260834727569,3.6842105263157894,979.7340922593629,54.42967179218683,265.9278250418271
57,DBNet,16.362839614373357,5,13,1,5.702152972102545,62.044270833333336,1061357.7700026808,58964.32055570449,17106.458916307634
58,cs373,27.465583389754006,9,3,0,2.66305265444475,53.879310344827594,430450.3213003368,23913.9067389076,7989.15796333425
59,nuplan-devkit,6.968503937007874,5,18,1,0.8220699996495693,38.475,94887.42970955154,5271.523872752863,2466.209998948708
60,crgeo-learning,0.06317784563546383,7,28,1,3.3803223636268194,58.679245283018865,595064.2953327966,33059.127518488705,10140.967090880458
61,PythonRobotics,6.945725434551259,49,11,1,6.9443360153260185,117.16742081447963,2440949.8205545507,135608.32336414172,20833.008045978055
62,rail_marking,1.141304347826087,2,4,1,0.5983950178164869,20.441176470588236,36695.6944749228,2038.6496930512667,1795.1850534494606
63,lira-mot,26.752566062459053,20,14,1,3.465854207756931,62.0,644648.8826427892,35813.82681348829,10397.562623270793
64,RRPN,21.16743090841492,19,15,1,2.5252673292132277,56.625,428979.78755009704,23832.210419449835,7575.801987639683
65,cyber_record,2.8118703059168344,2,3,1,10.684369410283999,64.42446043165468,2065004.2029300693,114722.45571833718,32053.108230851994
66,ANTI-CARLA,5.766049625836944,112,7,1,23.222050581276825,531.630859375,37036676.120921746,2057593.117828986,69666.15174383047
67,PaddleSeg,11.80336847870738,10,10,1,4.862609331734739,70.12587412587412,1022984.1897615936,56832.4549867552,14587.827995204218
68,ANTI-CARLA,7.267968592711899,28,2,1,1.762176728863963,48.0,253753.4489564107,14097.413830911704,5286.530186591889
69,evaluating_bdl,1.6144578313253013,9,17,1,1.7786780245198182,26.564625850340136,141749.74868877325,7874.9860382651805,5336.034073559455
70,MORAI-DriveExample_ROS,2.1358476043871466,8,13,1,1.9838673057065828,46.02272727272727,273908.951867443,15217.163992635722,5951.601917119749
71,RGGNet,0.0,3,11,1,0.6247538642719986,16.742424242424242,31379.6827282072,1743.3157071226224,1874.2615928159958
72,SMARTS,0.0,4,7,1,0.21655745420594613,10.5,6821.559807487303,378.97554486040576,649.6723626178384
73,PaddleSeg,30.261400496088534,10,5,1,1.8521606460297517,66.96710526315789,372101.5108408587,20672.306157825482,5556.481938089255
74,DI-drive,20.03143947900292,5,7,1,1.624779395169608,39.57534246575343,192903.60298541086,10716.866832522826,4874.338185508824
75,RAVEV,4.063079777365492,2,10,1,1.7281989208539823,31.977272727272727,165789.2646573786,9210.5147031877,5184.596762561947
76,PaddleSeg,49.27447373799305,0,8,1,0.9583256360954013,37.82727272727273,108752.5355943536,6041.807533019644,2874.976908286204
77,dgp,39.02985074626866,0,6,1,0.5840862334698722,39.13636363636363,68577.03368421271,3809.835204678484,1752.2587004096167
78,nuplan-devkit,22.14833759590793,2,14,1,0.23440742893381347,21.818181818181817,15343.031712031427,852.3906506684126,703.2222868014404
79,carla-aebs,38.37861147046141,8,11,1,0.45672741736844813,15.166666666666668,20781.09749026439,1154.5054161257995,1370.1822521053443
80,Self-driving-car-simulator,23.358908780903665,2,4,1,0.40363752403324876,7.615384615384615,9221.56497214422,512.3091651191233,1210.9125720997463
81,Freespace_Segmentation-Ford_Otosan_Intern,30.65934065934066,2,1,0,0.2873841171239176,6.7142857142857135,5788.737216353196,321.596512019622,862.1523513717527
82,gym-highway,1.3415892672858618,3,10,1,0.4173808353210553,16.142857142857142,20213.157596262532,1122.953199792363,1252.1425059631658
83,sccav_cbf,31.266149870801033,2,5,1,0.11497221688468587,3.75,1293.437439952716,71.85763555292867,344.9166506540576
84,SO-Net,16.047430830039527,3,20,1,3.0342399651409977,54.84615384615385,499249.17580281495,27736.065322378607,9102.719895422993
85,data_aggregation,41.978301015697134,11,16,1,1.7155239022357982,28.71794871794872,147798.98234646878,8211.05457480382,5146.571706707395
86,bounding-box-prediction,4.053482718528697,3,2,0,2.4727145689948564,23.464285714285715,174061.44341031648,9670.080189462027,7418.143706984569
87,crgeo,0.0,34,14,1,3.2312977484289993,72.33870967741935,701243.7291147126,38957.984950817365,9693.893245286998
88,Road-Lane-Detection-Using-DCNN-CS-670-,0.44658193060803847,2,14,1,1.3857054672715172,24.661616161616163,102521.20904070938,5695.622724483855,4157.116401814552
89,InterFuser,21.94149237497451,27,12,1,19.550068435475993,329.05283505154637,19299016.332435373,1072167.5740241874,58650.205306427975
90,Lane-Image-Stitching-Based-on-Integrated-Inertial-Navigation,31.71206225680934,3,3,0,0.11454845268110987,5.052631578947368,1736.3133880084022,96.46185488935568,343.6453580433296
91,sccav_cbf,30.903490759753595,4,6,1,0.9814750592009562,23.125,68089.83223206634,3782.768457337019,2944.4251776028686
92,aido2,9.812146635053802,5,21,1,1.9280311389441442,24.017605633802816,138920.07463455643,7717.781924142024,5784.093416832433
93,OGC,15.708925750394945,18,12,1,3.9004392007846174,85.56896551724138,1001269.6424221063,55626.09124567258,11701.317602353853
94,nuplan-devkit,10.275080906148867,3,9,1,0.1667025077001264,11.869565217391305,5936.05886114798,329.7810478415544,500.10752310037924
95,PythonRobotics,0.0,3,3,1,0.04531122681006491,4.7272727272727275,642.595580215466,35.69975445641478,135.93368043019473
96,GoKart,19.861178762786167,0,6,1,1.7717640269927937,145.52380952380952,773501.552355711,42972.308464206166,5315.292080978381
97,SCADC-DepthCompletion,12.719563900666262,0,5,1,0.4996842445467795,20.535714285714285,30784.118637256954,1710.2288131809419,1499.0527336403386
98,Autonomous-Vehicle-System,36.950615310851845,36,28,1,6.6399702240625,129.5630081300813,2580883.548371122,143382.41935395123,19919.9106721875
99,SEE-MTDA,2.300405953991881,2,0,0,0.2064248462661198,6.6000000000000005,4087.211956069172,227.06733089273177,619.2745387983593
100,crgeo,0.0,6,7,1,2.4718884377037735,57.492537313432834,426345.4147179822,23685.85637322123,7415.665313111321
101,Tactical-Lane-Changing,9.55837870538415,2,2,0,0.8243724899212413,41.23255813953489,101972.95985793216,5665.164436551787,2473.117469763724
102,InterFuser,13.442759193849989,0,7,1,1.68367665060003,61.40350877192983,310150.9619526371,17230.60899736873,5051.02995180009
103,Self-Driving-Robot-Using-Neural-Network,13.250100684655658,10,4,1,0.8806525753956543,28.142857142857142,74352.23886554739,4130.679936974855,2641.957726186963
104,road-object-detection-for-bdd100k,24.886099017920422,28,8,1,2.2070910695998522,43.874015748031496,290501.84503489075,16138.991390827265,6621.273208799556
105,JetRat,24.406779661016948,2,3,1,0.09169925001442311,5.970588235294118,1642.4953899642258,91.24974388690143,275.09775004326934
106,MotionPlanning,17.903348554033485,6,15,1,2.492398445001662,46.50349650349651,347715.7271173647,19317.54039540915,7477.195335004985
107,Voiture-Autonome-Virtuelle-VAV--App-Deep-Q-Learning,15.345413363533408,24,19,1,3.9446953404066027,88.65972222222221,1049206.779395231,58289.26552195728,11834.086021219808
108,LiDARSimLib-and-Placement-Evaluation,38.16351977199857,12,23,1,2.6321280339274655,25.280898876404496,199627.6879664089,11090.42710924494,7896.384101782396
109,Codes-for-Steering-Control,8.628430874946316,30,14,1,12.021966489300596,96.53731343283582,3481705.041169981,193428.05784277673,36065.899467901785
110,vehicle-tracking,8.952551477170994,15,11,1,0.8697081218773681,24.383561643835616,63619.74480582392,3534.4302669902177,2609.1243656321044
