,Repository,LOC,LLOC,SLOC,Comments,Single Comments,Multi,Blank,(C%L),(C%S),(C+M%L)
0,self-driving-car-using-ros,68,47,47,4,4,0,17,6%,9%,6%
1,self-driving-car-using-ros,23,3,22,0,0,0,1,0%,0%,0%
2,self-driving-car-using-ros,206,147,164,0,0,0,42,0%,0%,0%
3,self-driving-car-using-ros,89,68,68,1,1,0,20,1%,1%,1%
4,self-driving-car-using-ros,109,68,67,2,1,10,31,2%,3%,11%
5,self-driving-car-using-ros,20,15,15,0,0,0,5,0%,0%,0%
6,self-driving-car-using-ros,34,24,24,0,0,0,10,0%,0%,0%
7,self-driving-car-using-ros,30,23,23,0,0,0,7,0%,0%,0%
8,self-driving-car-using-ros,135,69,76,2,1,31,27,1%,3%,24%
9,self-driving-car-using-ros,64,46,47,4,0,0,17,6%,9%,6%
10,self-driving-car-using-ros,181,104,98,16,15,27,41,9%,16%,24%
11,self-driving-car-using-ros,68,25,23,6,6,27,12,9%,26%,49%
12,self-driving-car-using-ros,67,49,49,1,1,0,17,1%,2%,1%
13,self-driving-car-using-ros,0,0,0,0,0,0,0,0%,0%,0%
14,self-driving-car-using-ros,193,107,102,14,14,43,34,7%,14%,30%
15,self-driving-car-using-ros,52,35,34,4,2,3,13,8%,12%,13%
16,self-driving-car-using-ros,4,4,4,0,0,0,0,0%,0%,0%
17,self-driving-car-using-ros,127,48,46,8,7,53,21,6%,17%,48%
18,self-driving-car-using-ros,186,132,124,11,13,8,41,6%,9%,10%
19,self-driving-car-using-ros,68,52,50,2,4,0,14,3%,4%,3%
20,self-driving-car-using-ros,283,150,161,19,14,62,46,7%,12%,29%
21,self-driving-car-using-ros,0,0,0,0,0,0,0,0%,0%,0%
22,self-driving-car-using-ros,412,284,287,24,26,33,66,6%,8%,14%
23,self-driving-car-using-ros,19,12,9,1,2,3,5,5%,11%,21%
24,self-driving-car-using-ros,80,51,57,1,1,2,20,1%,2%,4%
25,self-driving-car-using-ros,1682,673,826,83,74,580,202,5%,10%,39%
26,self-driving-car-using-ros,119,57,63,0,0,22,34,0%,0%,18%
27,self-driving-car-using-ros,26,22,22,1,1,0,3,4%,5%,4%
28,self-driving-car-using-ros,88,53,53,1,1,9,25,1%,2%,11%
29,self-driving-car-using-ros,768,424,466,24,21,138,143,3%,5%,21%
30,self-driving-car-using-ros,6,3,2,0,0,3,1,0%,0%,50%
31,self-driving-car-using-ros,503,200,228,9,9,154,112,2%,4%,32%
32,self-driving-car-using-ros,1149,633,687,15,9,277,176,1%,2%,25%
33,self-driving-car-using-ros,129,70,74,1,1,13,41,1%,1%,11%
34,self-driving-car-using-ros,185,79,81,2,2,62,40,1%,2%,35%
35,self-driving-car-using-ros,0,0,0,0,0,0,0,0%,0%,0%
36,self-driving-car-using-ros,345,131,121,2,2,161,61,1%,2%,47%
37,self-driving-car-using-ros,660,354,356,17,17,179,108,3%,5%,30%
38,self-driving-car-using-ros,2575,749,1363,11,11,972,229,0%,1%,38%
39,self-driving-car-using-ros,2273,1035,1422,60,54,552,245,3%,4%,27%
40,self-driving-car-using-ros,388,138,228,1,1,129,30,0%,0%,34%
41,self-driving-car-using-ros,688,248,288,4,2,280,118,1%,1%,41%
