,Repository,Smell Type,Information
0,SqueezeSeg,E0001,(syntax-error)
1,VoxFormer,C0114,(missing-module-docstring)
2,VoxFormer,E0401,(import-error)
3,VoxFormer,E0401,(import-error)
4,VoxFormer,E0401,(import-error)
5,VoxFormer,E0401,(import-error)
6,VoxFormer,E0401,(import-error)
7,VoxFormer,E0401,(import-error)
8,VoxFormer,E0401,(import-error)
9,VoxFormer,E0401,(import-error)
10,VoxFormer,E0401,(import-error)
11,VoxFormer,E0401,(import-error)
12,VoxFormer,E0401,(import-error)
13,VoxFormer,E0401,(import-error)
14,VoxFormer,E0401,(import-error)
15,VoxFormer,C0116,(missing-function-docstring)
16,VoxFormer,C0116,(missing-function-docstring)
17,VoxFormer,R0914,(too-many-locals)
18,VoxFormer,E0401,(import-error)
19,VoxFormer,C0415,(import-outside-toplevel)
20,VoxFormer,C0415,(import-outside-toplevel)
21,VoxFormer,C0103,(invalid-name)
22,VoxFormer,C0103,(invalid-name)
23,VoxFormer,R1728,(consider-using-generator)
24,VoxFormer,R1735,(use-dict-literal)
25,VoxFormer,R0912,(too-many-branches)
26,VoxFormer,R0915,(too-many-statements)
27,VoxFormer,W0612,(unused-variable)
28,VoxFormer,C0411,(wrong-import-order)
29,VoxFormer,C0411,(wrong-import-order)
30,VoxFormer,C0411,(wrong-import-order)
31,VoxFormer,C0411,(wrong-import-order)
32,VoxFormer,C0412,(ungrouped-imports)
33,VoxFormer,C0412,(ungrouped-imports)
34,VoxFormer,C0412,(ungrouped-imports)
35,VoxFormer,C0412,(ungrouped-imports)
36,VoxFormer,W0611,(unused-import)
37,VoxFormer,C0301,(line-too-long)
38,VoxFormer,W0511,(fixme)
39,VoxFormer,C0114,(missing-module-docstring)
40,VoxFormer,E0401,(import-error)
41,VoxFormer,E0401,(import-error)
42,VoxFormer,E0401,(import-error)
43,VoxFormer,E0401,(import-error)
44,VoxFormer,E0401,(import-error)
45,VoxFormer,E0401,(import-error)
46,VoxFormer,E0401,(import-error)
47,VoxFormer,E0401,(import-error)
48,VoxFormer,E0401,(import-error)
49,VoxFormer,E0401,(import-error)
50,VoxFormer,E0401,(import-error)
51,VoxFormer,E0401,(import-error)
