,Repository,block_type,Classification
0,VoxFormer,F,E
1,VoxFormer,F,A
2,VoxFormer,F,D
3,VoxFormer,F,A
4,VoxFormer,M,B
5,VoxFormer,C,A
6,VoxFormer,M,A
7,VoxFormer,M,A
8,VoxFormer,M,A
9,VoxFormer,M,A
10,VoxFormer,M,A
11,VoxFormer,M,A
12,VoxFormer,F,B
13,VoxFormer,F,B
14,VoxFormer,F,A
15,VoxFormer,F,A
16,VoxFormer,F,A
17,VoxFormer,F,A
18,VoxFormer,F,D
19,VoxFormer,M,C
20,VoxFormer,C,B
21,VoxFormer,M,A
22,VoxFormer,F,A
23,VoxFormer,M,A
24,VoxFormer,M,A
25,VoxFormer,F,A
26,VoxFormer,C,A
27,VoxFormer,M,A
28,VoxFormer,M,A
29,VoxFormer,M,A
30,VoxFormer,M,A
31,VoxFormer,M,A
32,VoxFormer,M,A
33,VoxFormer,C,A
34,VoxFormer,M,A
35,VoxFormer,M,A
36,VoxFormer,F,B
37,VoxFormer,F,A
38,VoxFormer,F,A
39,VoxFormer,F,A
40,VoxFormer,F,A
41,VoxFormer,F,A
42,VoxFormer,C,A
43,VoxFormer,M,A
44,VoxFormer,M,A
45,VoxFormer,M,B
46,VoxFormer,C,A
47,VoxFormer,M,A
48,VoxFormer,M,A
49,VoxFormer,M,A
50,VoxFormer,M,A
51,VoxFormer,M,A
52,VoxFormer,M,A
53,VoxFormer,M,C
54,VoxFormer,C,A
55,VoxFormer,M,A
56,VoxFormer,C,A
57,VoxFormer,M,A
58,VoxFormer,M,A
59,VoxFormer,M,A
60,VoxFormer,M,A
61,VoxFormer,M,A
62,VoxFormer,M,A
63,VoxFormer,M,C
64,VoxFormer,C,B
65,VoxFormer,M,A
66,VoxFormer,M,A
67,VoxFormer,C,A
68,VoxFormer,C,A
69,VoxFormer,M,A
70,VoxFormer,M,A
71,VoxFormer,M,A
72,VoxFormer,M,A
73,VoxFormer,M,C
74,VoxFormer,M,C
75,VoxFormer,C,B
76,VoxFormer,C,A
77,VoxFormer,M,A
78,VoxFormer,M,A
79,VoxFormer,M,A
80,VoxFormer,M,A
81,VoxFormer,M,C
82,VoxFormer,C,B
83,VoxFormer,C,A
84,VoxFormer,M,A
85,VoxFormer,M,A
86,VoxFormer,M,A
87,VoxFormer,M,A
88,VoxFormer,M,A
89,VoxFormer,M,C
90,VoxFormer,C,C
91,VoxFormer,M,C
92,VoxFormer,M,B
93,VoxFormer,C,A
94,VoxFormer,M,A
95,VoxFormer,M,A
96,VoxFormer,M,A
97,VoxFormer,M,A
98,VoxFormer,M,B
99,VoxFormer,F,A
100,VoxFormer,C,A
101,VoxFormer,M,A
102,VoxFormer,M,A
103,VoxFormer,M,A
104,VoxFormer,M,A
105,VoxFormer,M,B
106,VoxFormer,M,A
107,VoxFormer,M,A
108,VoxFormer,M,A
109,VoxFormer,C,A
110,VoxFormer,M,A
111,VoxFormer,M,A
112,VoxFormer,M,A
113,VoxFormer,M,A
114,VoxFormer,M,A
115,VoxFormer,M,A
116,VoxFormer,M,A
117,VoxFormer,M,A
118,VoxFormer,M,A
119,VoxFormer,M,A
120,VoxFormer,M,A
121,VoxFormer,M,A
122,VoxFormer,M,A
123,VoxFormer,M,A
124,VoxFormer,M,A
125,VoxFormer,F,B
126,VoxFormer,F,B
127,VoxFormer,F,A
128,VoxFormer,M,A
129,VoxFormer,M,A
130,VoxFormer,M,A
131,VoxFormer,M,A
132,VoxFormer,M,A
133,VoxFormer,C,A
134,VoxFormer,M,A
135,VoxFormer,M,A
136,VoxFormer,M,A
137,VoxFormer,M,A
138,VoxFormer,M,A
139,VoxFormer,M,A
140,VoxFormer,M,A
141,VoxFormer,M,A
142,VoxFormer,M,A
143,VoxFormer,M,B
144,VoxFormer,M,B
