,Repository,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
0,PythonRobotics,6.945725434551259,49,11,1,6.9443360153260185,117.16742081447963,2440949.8205545507,135608.32336414172,20833.008045978055
1,PythonRobotics,0.0,3,3,1,0.04531122681006491,4.7272727272727275,642.595580215466,35.69975445641478,135.93368043019473
2,MotionPlanning,17.903348554033485,6,15,1,2.492398445001662,46.50349650349651,347715.7271173647,19317.54039540915,7477.195335004985
3,pylot,6.806420845424843,0,77,1,11.004875193704487,311.72037914691947,10291331.603538275,571740.6446410152,33014.62558111346
4,PythonRobotics,22.228481297881928,43,5,1,3.8988067274949074,92.4770642201835,1081650.60036189,60091.700020104996,11696.420182484722
5,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
6,PythonRobotics,8.02139037433155,1,3,1,0.24140466561840493,16.956521739130434,12280.150381457988,682.230576747666,724.2139968552148
7,l5kit,34.591905946190366,2,11,1,2.6479473318476607,72.14999999999999,573148.1999784261,31841.566665468115,7943.841995542982
8,pylot,38.96022549326652,0,11,1,1.5191722368851557,42.0,191415.70184752962,10634.20565819609,4557.516710655467
9,PythonRobotics,39.013215859030836,8,10,1,2.210655163123706,46.41203703703704,307803.0279210438,17100.168217835766,6631.965489371119
10,SqueezeSeg,14.256066411238825,0,10,0,2.57037440104031,41.55140186915888,320407.97907547344,17800.443281970747,7711.12320312093
11,l5kit,6.948480845442536,0,10,1,1.2287590776439052,47.172413793103445,173890.59498795125,9660.588610441737,3686.2772329317154
12,VoxFormer,24.200913242009133,1,6,1,0.3818613636375466,16.153846153846153,18505.58916089649,1028.0882867164717,1145.5840909126398
13,l5kit,49.65373961218837,6,5,0,0.25776622461599397,17.066666666666666,13197.63070033889,733.2017055743828,773.2986738479818
14,CVPR2023-3D-Occupancy-Prediction,14.583835946924005,3,10,0,5.121624828869788,48.618090452261306,747010.857577616,41500.60319875644,15364.874486609364
15,PythonRobotics,12.882703777335983,12,5,1,2.007406007937537,64.07058823529411,385847.0512668644,21435.947292603578,6022.218023812611
16,VoxFormer,20.68216380621334,12,13,1,1.498,23.48181818181818,105527.29090909091,5862.627272727273,4494.0
17,RTM3D,22.31709227635908,13,8,1,7.570162275115457,119.08447488584476,2704466.3979982683,150248.13322212602,22710.486825346372
18,pylot,37.548072413469654,5,7,1,1.92905522562167,60.815217391304344,351947.7387180405,19552.65215100225,5787.16567686501
19,Ultra-Fast-Lane-Detection,44.07185628742515,2,0,0,0.320726945690104,2.111111111111111,2031.2706560373256,112.84836977985142,962.1808370703121
20,pylot,7.479387514723204,28,19,1,4.5858146578372,74.34782608695652,1022836.0519436884,56824.22510798269,13757.4439735116
21,l5kit,9.090909090909092,0,9,1,0.3147600349283995,14.057142857142857,13273.88033012336,737.4377961179645,944.2801047851984
22,l5kit,45.41284403669725,3,3,1,0.44556733112193236,33.42857142857143,44684.03806394236,2482.446559107909,1336.701993365797
23,PythonRobotics,11.538461538461538,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
