,Repository,LOC,LLOC,SLOC,Comments,Single Comments,Multi,Blank,(C%L),(C%S),(C+M%L)
0,VoxFormer,263,139,212,26,26,0,25,10%,12%,10%
1,VoxFormer,261,137,195,40,39,0,27,15%,21%,15%
2,VoxFormer,0,0,0,0,0,0,0,0%,0%,0%
3,VoxFormer,3,3,3,0,0,0,0,0%,0%,0%
4,VoxFormer,7,6,6,0,0,0,1,0%,0%,0%
5,VoxFormer,1,1,1,0,0,0,0,0%,0%,0%
6,VoxFormer,254,135,166,21,18,37,33,8%,13%,23%
7,VoxFormer,3,2,2,1,1,0,0,33%,50%,33%
8,VoxFormer,178,80,82,52,50,26,20,29%,63%,44%
9,VoxFormer,67,15,48,5,5,8,6,7%,10%,19%
10,VoxFormer,200,86,158,27,22,0,20,14%,17%,14%
11,VoxFormer,95,54,69,7,7,8,11,7%,10%,16%
12,VoxFormer,1,1,1,0,0,0,0,0%,0%,0%
13,VoxFormer,203,156,167,31,6,3,27,15%,19%,17%
14,VoxFormer,45,20,28,7,5,0,12,16%,25%,16%
15,VoxFormer,3,3,3,0,0,0,0,0%,0%,0%
16,VoxFormer,133,85,97,11,9,3,24,8%,11%,11%
17,VoxFormer,1,1,1,0,0,0,0,0%,0%,0%
18,VoxFormer,14,9,9,0,0,0,5,0%,0%,0%
19,VoxFormer,2,2,2,0,0,0,0,0%,0%,0%
20,VoxFormer,170,81,104,10,12,33,21,6%,10%,25%
21,VoxFormer,366,174,228,75,51,17,70,20%,33%,25%
22,VoxFormer,278,112,161,20,21,58,38,7%,12%,28%
23,VoxFormer,163,45,84,5,5,52,22,3%,6%,35%
24,VoxFormer,4,4,4,0,0,0,0,0%,0%,0%
25,VoxFormer,403,168,236,17,19,105,43,4%,7%,30%
26,VoxFormer,395,134,244,21,20,82,49,5%,9%,26%
27,VoxFormer,253,95,160,12,8,59,26,5%,8%,28%
28,VoxFormer,193,90,142,13,12,15,24,7%,9%,15%
29,VoxFormer,89,54,60,10,11,0,18,11%,17%,11%
30,VoxFormer,1,1,1,0,0,0,0,0%,0%,0%
31,VoxFormer,503,276,311,28,21,86,85,6%,9%,23%
32,VoxFormer,7,4,6,0,0,0,1,0%,0%,0%
33,VoxFormer,146,65,102,8,8,17,19,5%,8%,17%
34,VoxFormer,279,152,173,16,14,44,48,6%,9%,22%
35,VoxFormer,4,3,3,0,0,0,1,0%,0%,0%
36,VoxFormer,110,57,71,7,7,16,16,6%,10%,21%
37,VoxFormer,7,4,4,0,0,0,3,0%,0%,0%
38,VoxFormer,41,22,27,6,6,0,8,15%,22%,15%
39,VoxFormer,2,1,1,0,0,0,1,0%,0%,0%
40,VoxFormer,20,21,19,0,0,0,1,0%,0%,0%
41,VoxFormer,13,8,8,0,0,0,5,0%,0%,0%
42,VoxFormer,1,1,1,0,0,0,0,0%,0%,0%
43,VoxFormer,1,1,1,0,0,0,0,0%,0%,0%
44,VoxFormer,131,66,77,7,7,27,20,5%,9%,26%
45,VoxFormer,18,8,13,5,5,0,0,28%,38%,28%
46,VoxFormer,211,35,200,1,1,0,10,0%,0%,0%
47,VoxFormer,211,35,200,1,1,0,10,0%,0%,0%
48,VoxFormer,130,33,110,11,4,0,16,8%,10%,8%
49,VoxFormer,239,129,127,35,30,23,59,15%,28%,24%
50,VoxFormer,156,88,125,6,2,9,20,4%,5%,10%
51,VoxFormer,364,197,213,61,52,12,87,17%,29%,20%
52,VoxFormer,50,41,38,3,3,0,9,6%,8%,6%
53,VoxFormer,174,98,76,22,19,50,29,13%,29%,41%
54,VoxFormer,117,72,70,13,13,8,26,11%,19%,18%
55,VoxFormer,54,41,43,0,0,0,11,0%,0%,0%
56,VoxFormer,8,3,7,0,0,0,1,0%,0%,0%
57,VoxFormer,341,236,258,23,16,0,67,7%,9%,7%
58,VoxFormer,72,50,48,6,4,8,12,8%,12%,19%
59,VoxFormer,71,27,25,20,20,13,13,28%,80%,46%
60,VoxFormer,3,3,3,0,0,0,0,0%,0%,0%
61,VoxFormer,85,29,36,33,33,0,16,39%,92%,39%
62,VoxFormer,148,117,115,3,3,0,30,2%,3%,2%
