,Name,NameWithOwner,Url,UpdateAt,Num_of_Releases
0,PythonRobotics,AtsushiSakai/PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,2023-03-07T15:18:57Z,0
1,Ultra-Fast-Lane-Detection,cfzd/Ultra-Fast-Lane-Detection,https://github.com/cfzd/Ultra-Fast-Lane-Detection,2023-03-07T07:24:35Z,0
2,MotionPlanning,zhm-real/MotionPlanning,https://github.com/zhm-real/MotionPlanning,2023-03-07T07:42:02Z,0
3,l5kit,woven-planet/l5kit,https://github.com/woven-planet/l5kit,2023-02-25T13:23:59Z,0
4,SqueezeSeg,BichenWuUCB/SqueezeSeg,https://github.com/BichenWuUCB/SqueezeSeg,2023-02-08T03:04:06Z,0
5,Cam2BEV,ika-rwth-aachen/Cam2BEV,https://github.com/ika-rwth-aachen/Cam2BEV,2023-03-07T08:32:10Z,0
6,pylot,erdos-project/pylot,https://github.com/erdos-project/pylot,2023-03-06T12:46:19Z,6
7,RTM3D,maudzung/RTM3D,https://github.com/maudzung/RTM3D,2023-03-04T05:56:40Z,0
8,UrbanLoco,weisongwen/UrbanLoco,https://github.com/weisongwen/UrbanLoco,2023-03-04T13:57:18Z,0
9,LearningByCheating,dotchen/LearningByCheating,https://github.com/dotchen/LearningByCheating,2023-03-01T10:03:34Z,0
10,autodrome,vojtamolda/autodrome,https://github.com/vojtamolda/autodrome,2023-01-05T00:37:07Z,0
11,CVPR2023-3D-Occupancy-Prediction,CVPR2023-3D-Occupancy-Prediction/CVPR2023-3D-Occupancy-Prediction,https://github.com/CVPR2023-3D-Occupancy-Prediction/CVPR2023-3D-Occupancy-Prediction,2023-03-07T16:25:47Z,0
12,waymo-motion-prediction-challenge-2022-multipath-plus-plus,stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,https://github.com/stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,2023-03-07T09:10:00Z,0
13,vision3d,jhultman/vision3d,https://github.com/jhultman/vision3d,2023-01-25T18:03:16Z,0
14,av2-api,argoverse/av2-api,https://github.com/argoverse/av2-api,2023-03-04T00:20:34Z,3
15,BtcDet,Xharlie/BtcDet,https://github.com/Xharlie/BtcDet,2023-03-04T16:57:27Z,0
16,BeamNGpy,BeamNG/BeamNGpy,https://github.com/BeamNG/BeamNGpy,2023-03-05T18:33:58Z,0
17,Carla_iLQR_MPC,YukunXia/Carla_iLQR_MPC,https://github.com/YukunXia/Carla_iLQR_MPC,2023-02-07T15:38:54Z,0
