,Name,NameWithOwner,Url,UpdateAt,Num_of_Releases
0,PythonRobotics,AtsushiSakai/PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,2023-03-07T15:18:57Z,0
1,PaddleSeg,PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,2023-03-07T14:23:33Z,17
2,OpenPCDet,open-mmlab/OpenPCDet,https://github.com/open-mmlab/OpenPCDet,2023-03-07T02:47:41Z,0
3,highway-env,eleurent/highway-env,https://github.com/eleurent/highway-env,2023-03-06T23:58:24Z,9
4,BEVFormer,fundamentalvision/BEVFormer,https://github.com/fundamentalvision/BEVFormer,2023-03-07T06:46:28Z,2
5,YOLOP,hustvl/YOLOP,https://github.com/hustvl/YOLOP,2023-03-07T08:33:38Z,0
6,Ultra-Fast-Lane-Detection,cfzd/Ultra-Fast-Lane-Detection,https://github.com/cfzd/Ultra-Fast-Lane-Detection,2023-03-07T07:24:35Z,0
7,Det3D,poodarchu/Det3D,https://github.com/poodarchu/Det3D,2023-03-04T08:47:14Z,0
8,3D-PointCloud,zhulf0804/3D-PointCloud,https://github.com/zhulf0804/3D-PointCloud,2023-03-07T13:44:12Z,0
9,PointCNN,yangyanli/PointCNN,https://github.com/yangyanli/PointCNN,2023-03-05T12:51:07Z,1
10,KittiSeg,MarvinTeichmann/KittiSeg,https://github.com/MarvinTeichmann/KittiSeg,2023-03-03T12:50:48Z,0
11,OpenCDA,ucla-mobility/OpenCDA,https://github.com/ucla-mobility/OpenCDA,2023-03-07T09:18:14Z,3
12,transfuser,autonomousvision/transfuser,https://github.com/autonomousvision/transfuser,2023-03-07T06:25:55Z,0
13,ChosunTruck,bethesirius/ChosunTruck,https://github.com/bethesirius/ChosunTruck,2023-02-17T05:17:15Z,0
14,SMARTS,huawei-noah/SMARTS,https://github.com/huawei-noah/SMARTS,2023-03-07T02:53:14Z,27
15,Self-Driving-Car-in-Video-Games,ikergarcia1996/Self-Driving-Car-in-Video-Games,https://github.com/ikergarcia1996/Self-Driving-Car-in-Video-Games,2023-03-05T13:33:02Z,4
16,deeplabv3,fregu856/deeplabv3,https://github.com/fregu856/deeplabv3,2023-03-07T08:06:17Z,0
17,Pedestron,hasanirtiza/Pedestron,https://github.com/hasanirtiza/Pedestron,2023-03-07T16:15:38Z,0
18,DI-drive,opendilab/DI-drive,https://github.com/opendilab/DI-drive,2023-03-05T11:57:07Z,11
19,SMOKE,lzccccc/SMOKE,https://github.com/lzccccc/SMOKE,2023-03-02T05:31:48Z,0
20,MultiNet,MarvinTeichmann/MultiNet,https://github.com/MarvinTeichmann/MultiNet,2023-02-20T05:38:28Z,0
21,SST,tusen-ai/SST,https://github.com/tusen-ai/SST,2023-03-06T09:03:08Z,0
22,InterFuser,opendilab/InterFuser,https://github.com/opendilab/InterFuser,2023-03-04T19:44:48Z,0
23,KittiBox,MarvinTeichmann/KittiBox,https://github.com/MarvinTeichmann/KittiBox,2023-01-20T13:45:11Z,0
24,HybridNets,datvuthanh/HybridNets,https://github.com/datvuthanh/HybridNets,2023-03-03T16:39:07Z,1
25,CIA-SSD,Vegeta2020/CIA-SSD,https://github.com/Vegeta2020/CIA-SSD,2023-03-07T02:33:48Z,0
26,OpenCOOD,DerrickXuNu/OpenCOOD,https://github.com/DerrickXuNu/OpenCOOD,2023-03-07T09:18:10Z,0
27,HiVT,ZikangZhou/HiVT,https://github.com/ZikangZhou/HiVT,2023-03-05T17:37:16Z,0
28,gym-carla,cjy1992/gym-carla,https://github.com/cjy1992/gym-carla,2023-02-27T09:42:02Z,0
29,MapTR,hustvl/MapTR,https://github.com/hustvl/MapTR,2023-03-07T16:07:57Z,0
30,SO-Net,lijx10/SO-Net,https://github.com/lijx10/SO-Net,2022-12-26T10:04:21Z,0
31,LAV,dotchen/LAV,https://github.com/dotchen/LAV,2023-03-07T05:45:56Z,0
32,Cherry-Autonomous-Racecar,DJTobias/Cherry-Autonomous-Racecar,https://github.com/DJTobias/Cherry-Autonomous-Racecar,2023-01-14T17:09:26Z,0
33,pylot,erdos-project/pylot,https://github.com/erdos-project/pylot,2023-03-06T12:46:19Z,6
34,nuplan-devkit,motional/nuplan-devkit,https://github.com/motional/nuplan-devkit,2023-03-07T15:32:14Z,6
