,Name,NameWithOwner,Url,UpdateAt,Num_of_Releases
0,donkeycar,autorope/donkeycar,https://github.com/autorope/donkeycar,2023-03-06T23:09:02Z,14
1,lanenet-lane-detection,MaybeShewill-CV/lanenet-lane-detection,https://github.com/MaybeShewill-CV/lanenet-lane-detection,2023-03-06T20:32:10Z,0
2,self_drive,Timthony/self_drive,https://github.com/Timthony/self_drive,2023-03-06T11:12:07Z,0
3,deepdrive,deepdrive/deepdrive,https://github.com/deepdrive/deepdrive,2023-02-27T23:53:12Z,1
4,self_driving_pi_car,felipessalvatore/self_driving_pi_car,https://github.com/felipessalvatore/self_driving_pi_car,2023-02-02T09:14:47Z,0
5,Self-Driving-Car-in-Video-Games,ikergarcia1996/Self-Driving-Car-in-Video-Games,https://github.com/ikergarcia1996/Self-Driving-Car-in-Video-Games,2023-03-05T13:33:02Z,4
6,advanced_lane_detection,georgesung/advanced_lane_detection,https://github.com/georgesung/advanced_lane_detection,2023-02-28T12:27:51Z,0
7,Autopilot,akshaybahadur21/Autopilot,https://github.com/akshaybahadur21/Autopilot,2023-03-03T15:38:00Z,0
8,self-driving-truck,aleju/self-driving-truck,https://github.com/aleju/self-driving-truck,2023-03-01T08:02:15Z,0
9,Seg-Uncertainty,layumi/Seg-Uncertainty,https://github.com/layumi/Seg-Uncertainty,2023-03-06T19:01:14Z,0
10,OpenTraj,crowdbotp/OpenTraj,https://github.com/crowdbotp/OpenTraj,2023-03-03T15:17:13Z,0
11,pylot,erdos-project/pylot,https://github.com/erdos-project/pylot,2023-03-06T12:46:19Z,6
12,RTM3D,maudzung/RTM3D,https://github.com/maudzung/RTM3D,2023-03-04T05:56:40Z,0
13,PIXOR,philip-huang/PIXOR,https://github.com/philip-huang/PIXOR,2023-03-06T02:39:18Z,0
14,Pi_Self_Driving_Car,makelove/Pi_Self_Driving_Car,https://github.com/makelove/Pi_Self_Driving_Car,2023-02-02T09:10:15Z,0
15,DeepForSpeed,edilgin/DeepForSpeed,https://github.com/edilgin/DeepForSpeed,2023-02-19T17:12:25Z,0
16,Behavioral-Cloning,upul/Behavioral-Cloning,https://github.com/upul/Behavioral-Cloning,2022-11-04T17:04:28Z,0
17,waymo-motion-prediction-challenge-2022-multipath-plus-plus,stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,https://github.com/stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,2023-03-07T09:10:00Z,0
18,tmrl,trackmania-rl/tmrl,https://github.com/trackmania-rl/tmrl,2023-03-06T20:14:21Z,15
19,Grid-GCN,Xharlie/Grid-GCN,https://github.com/Xharlie/Grid-GCN,2023-01-25T07:00:17Z,0
20,surround_vehicles_awareness,ndrplz/surround_vehicles_awareness,https://github.com/ndrplz/surround_vehicles_awareness,2023-01-21T09:14:51Z,0
