Index,Name,NameWithOwner,Url,UpdateAt,Num_of_Releases
1,PythonRobotics,AtsushiSakai/PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,2023-03-18T18:04:49Z,0
2,Ultra-Fast-Lane-Detection,cfzd/Ultra-Fast-Lane-Detection,https://github.com/cfzd/Ultra-Fast-Lane-Detection,2023-03-16T15:17:33Z,0
3,MotionPlanning,zhm-real/MotionPlanning,https://github.com/zhm-real/MotionPlanning,2023-03-18T09:41:45Z,0
4,l5kit,woven-planet/l5kit,https://github.com/woven-planet/l5kit,2023-03-15T08:44:15Z,0
5,SqueezeSeg,BichenWuUCB/SqueezeSeg,https://github.com/BichenWuUCB/SqueezeSeg,2023-03-16T04:39:27Z,0
6,Cam2BEV,ika-rwth-aachen/Cam2BEV,https://github.com/ika-rwth-aachen/Cam2BEV,2023-03-18T06:33:06Z,0
7,VoxFormer,NVlabs/VoxFormer,https://github.com/NVlabs/VoxFormer,2023-03-17T12:26:41Z,0
8,pylot,erdos-project/pylot,https://github.com/erdos-project/pylot,2023-03-18T13:35:06Z,6
9,RTM3D,maudzung/RTM3D,https://github.com/maudzung/RTM3D,2023-03-04T05:56:40Z,0
10,CVPR2023-3D-Occupancy-Prediction,CVPR2023-3D-Occupancy-Prediction/CVPR2023-3D-Occupancy-Prediction,https://github.com/CVPR2023-3D-Occupancy-Prediction/CVPR2023-3D-Occupancy-Prediction,2023-03-18T02:36:23Z,0
11,UrbanLoco,weisongwen/UrbanLoco,https://github.com/weisongwen/UrbanLoco,2023-03-18T14:45:33Z,0
12,LearningByCheating,dotchen/LearningByCheating,https://github.com/dotchen/LearningByCheating,2023-03-17T04:44:32Z,0
13,autodrome,vojtamolda/autodrome,https://github.com/vojtamolda/autodrome,2023-01-05T00:37:07Z,0
14,waymo-motion-prediction-challenge-2022-multipath-plus-plus,stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,https://github.com/stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,2023-03-17T07:25:21Z,0
15,vision3d,jhultman/vision3d,https://github.com/jhultman/vision3d,2023-01-25T18:03:16Z,0
16,av2-api,argoverse/av2-api,https://github.com/argoverse/av2-api,2023-03-17T01:46:17Z,3
17,BeamNGpy,BeamNG/BeamNGpy,https://github.com/BeamNG/BeamNGpy,2023-03-15T14:40:32Z,0
18,BtcDet,Xharlie/BtcDet,https://github.com/Xharlie/BtcDet,2023-03-10T12:11:11Z,0
19,Carla_iLQR_MPC,YukunXia/Carla_iLQR_MPC,https://github.com/YukunXia/Carla_iLQR_MPC,2023-03-16T12:33:16Z,0
20,Automatic-Parking,Pandas-Team/Automatic-Parking,https://github.com/Pandas-Team/Automatic-Parking,2023-03-15T17:24:42Z,1
21,Error-State-Extended-Kalman-Filter,enginBozkurt/Error-State-Extended-Kalman-Filter,https://github.com/enginBozkurt/Error-State-Extended-Kalman-Filter,2023-03-15T11:43:23Z,0
22,MultiAgentTORCS,abhisheknaik96/MultiAgentTORCS,https://github.com/abhisheknaik96/MultiAgentTORCS,2023-03-15T02:49:05Z,0
23,CoBEVT,DerrickXuNu/CoBEVT,https://github.com/DerrickXuNu/CoBEVT,2023-03-13T17:29:51Z,0
24,PGP,nachiket92/PGP,https://github.com/nachiket92/PGP,2023-03-17T02:56:57Z,0
25,GndNet,anshulpaigwar/GndNet,https://github.com/anshulpaigwar/GndNet,2023-03-16T08:54:50Z,0
26,RCNN-Vehicle-Tracking-Lane-Detection,tj27-vkr/RCNN-Vehicle-Tracking-Lane-Detection,https://github.com/tj27-vkr/RCNN-Vehicle-Tracking-Lane-Detection,2022-11-21T15:04:43Z,0
27,gsnet,lkeab/gsnet,https://github.com/lkeab/gsnet,2023-03-10T06:53:44Z,0
28,SelfDrivingRCCar,sidroopdaska/SelfDrivingRCCar,https://github.com/sidroopdaska/SelfDrivingRCCar,2023-01-27T11:14:06Z,0
29,WIMP,wqi/WIMP,https://github.com/wqi/WIMP,2023-03-11T13:07:43Z,1
30,SelfDrivingCarsControlDesign,enginBozkurt/SelfDrivingCarsControlDesign,https://github.com/enginBozkurt/SelfDrivingCarsControlDesign,2023-03-04T08:11:43Z,0
31,MIT-Driverless-CV-TrainingInfra,cv-core/MIT-Driverless-CV-TrainingInfra,https://github.com/cv-core/MIT-Driverless-CV-TrainingInfra,2023-03-11T22:46:46Z,0
32,Tonic,mmajewsk/Tonic,https://github.com/mmajewsk/Tonic,2023-03-04T10:30:06Z,0
33,Waymo_Kitti_Adapter,Yao-Shao/Waymo_Kitti_Adapter,https://github.com/Yao-Shao/Waymo_Kitti_Adapter,2023-01-18T20:02:52Z,0
34,RRPN,mrnabati/RRPN,https://github.com/mrnabati/RRPN,2023-03-07T03:14:26Z,0
35,ld-lsi,fabvio/ld-lsi,https://github.com/fabvio/ld-lsi,2023-01-31T00:20:53Z,0
36,carla-training-data,enginBozkurt/carla-training-data,https://github.com/enginBozkurt/carla-training-data,2023-02-21T00:42:25Z,0
37,drift_drl,caipeide/drift_drl,https://github.com/caipeide/drift_drl,2023-03-04T06:01:00Z,0
38,autonomous_driving,StatueFungus/autonomous_driving,https://github.com/StatueFungus/autonomous_driving,2023-03-09T13:16:21Z,0
39,OGC,vLAR-group/OGC,https://github.com/vLAR-group/OGC,2023-03-18T01:27:06Z,0
40,pyMHT,erikliland/pyMHT,https://github.com/erikliland/pyMHT,2023-02-27T04:09:21Z,4
41,Attentional-PointNet,anshulpaigwar/Attentional-PointNet,https://github.com/anshulpaigwar/Attentional-PointNet,2023-02-10T13:21:15Z,0
42,rc_car_ros,GigaFlopsis/rc_car_ros,https://github.com/GigaFlopsis/rc_car_ros,2023-03-17T13:03:39Z,0
43,TuSimple-lane-classes,fabvio/TuSimple-lane-classes,https://github.com/fabvio/TuSimple-lane-classes,2023-02-06T11:51:30Z,0
44,Voof,antoninodimaggio/Voof,https://github.com/antoninodimaggio/Voof,2022-11-10T03:47:09Z,0
45,SCUTTLE,scuttlerobot/SCUTTLE,https://github.com/scuttlerobot/SCUTTLE,2023-03-09T14:00:49Z,0
46,shift-dev,SysCV/shift-dev,https://github.com/SysCV/shift-dev,2023-03-10T12:14:53Z,0
47,DeepTL-Lane-Change-Classification,Ekim-Yurtsever/DeepTL-Lane-Change-Classification,https://github.com/Ekim-Yurtsever/DeepTL-Lane-Change-Classification,2023-02-02T08:17:36Z,0
48,fastreg,eduardohenriquearnold/fastreg,https://github.com/eduardohenriquearnold/fastreg,2023-02-19T12:37:50Z,0
49,AdvancedLaneDetection,KushalBKusram/AdvancedLaneDetection,https://github.com/KushalBKusram/AdvancedLaneDetection,2023-03-08T16:07:15Z,0
50,Radar-RGB-Attentive-Multimodal-Object-Detection,RituYadav92/Radar-RGB-Attentive-Multimodal-Object-Detection,https://github.com/RituYadav92/Radar-RGB-Attentive-Multimodal-Object-Detection,2023-03-14T14:15:35Z,0
51,hope-autonomous-driving,umutkcbs/hope-autonomous-driving,https://github.com/umutkcbs/hope-autonomous-driving,2023-03-13T16:15:51Z,0
52,PyLidar3,lakshmanmallidi/PyLidar3,https://github.com/lakshmanmallidi/PyLidar3,2023-03-09T05:01:26Z,3
53,constrained_attention_filter,ahmdtaha/constrained_attention_filter,https://github.com/ahmdtaha/constrained_attention_filter,2022-08-05T14:16:27Z,0
54,wasr_network,bborja/wasr_network,https://github.com/bborja/wasr_network,2023-02-26T13:54:30Z,0
55,monstereo,vita-epfl/monstereo,https://github.com/vita-epfl/monstereo,2023-01-31T09:12:23Z,2
56,simobility,sash-ko/simobility,https://github.com/sash-ko/simobility,2023-03-13T08:00:04Z,2
57,burro,yconst/burro,https://github.com/yconst/burro,2023-01-28T10:51:22Z,1
58,LaneGCN_ref,zhaone/LaneGCN_ref,https://github.com/zhaone/LaneGCN_ref,2023-03-02T07:47:44Z,0
59,NPSN,InhwanBae/NPSN,https://github.com/InhwanBae/NPSN,2023-03-12T10:36:19Z,0
60,catvehicle,jmscslgroup/catvehicle,https://github.com/jmscslgroup/catvehicle,2023-03-14T04:09:45Z,1
61,cyber_record,daohu527/cyber_record,https://github.com/daohu527/cyber_record,2023-03-09T10:54:15Z,2
62,glcapsnet,javiermcebrian/glcapsnet,https://github.com/javiermcebrian/glcapsnet,2022-09-16T23:23:17Z,0
63,Trajformer,Manojbhat09/Trajformer,https://github.com/Manojbhat09/Trajformer,2023-01-10T00:19:39Z,0
64,CARLA_Motion_Planning_for_Self-Driving_Cars_Project,yymmaa0000/CARLA_Motion_Planning_for_Self-Driving_Cars_Project,https://github.com/yymmaa0000/CARLA_Motion_Planning_for_Self-Driving_Cars_Project,2023-02-15T19:10:48Z,0
65,ai-driver-safety,prasad-kumkar/ai-driver-safety,https://github.com/prasad-kumkar/ai-driver-safety,2023-02-10T15:17:47Z,0
66,stretchbev,kaanakan/stretchbev,https://github.com/kaanakan/stretchbev,2023-03-15T14:13:47Z,1
