Name,NameWithOwner,Url,UpdateAt,Num_of_Releases
donkeycar,autorope/donkeycar,https://github.com/autorope/donkeycar,2023-03-18T06:24:47Z,14
lanenet-lane-detection,MaybeShewill-CV/lanenet-lane-detection,https://github.com/MaybeShewill-CV/lanenet-lane-detection,2023-03-17T08:48:07Z,0
self_drive,Timthony/self_drive,https://github.com/Timthony/self_drive,2023-03-17T07:22:31Z,0
deepdrive,deepdrive/deepdrive,https://github.com/deepdrive/deepdrive,2023-03-13T17:17:16Z,1
self_driving_pi_car,felipessalvatore/self_driving_pi_car,https://github.com/felipessalvatore/self_driving_pi_car,2023-02-02T09:14:47Z,0
Self-Driving-Car-in-Video-Games,ikergarcia1996/Self-Driving-Car-in-Video-Games,https://github.com/ikergarcia1996/Self-Driving-Car-in-Video-Games,2023-03-12T02:53:57Z,4
advanced_lane_detection,georgesung/advanced_lane_detection,https://github.com/georgesung/advanced_lane_detection,2023-03-17T14:08:20Z,0
Autopilot,akshaybahadur21/Autopilot,https://github.com/akshaybahadur21/Autopilot,2023-03-15T14:23:28Z,0
self-driving-truck,aleju/self-driving-truck,https://github.com/aleju/self-driving-truck,2023-03-01T08:02:15Z,0
OpenTraj,crowdbotp/OpenTraj,https://github.com/crowdbotp/OpenTraj,2023-03-17T14:27:22Z,0
Seg-Uncertainty,layumi/Seg-Uncertainty,https://github.com/layumi/Seg-Uncertainty,2023-03-16T09:40:32Z,0
pylot,erdos-project/pylot,https://github.com/erdos-project/pylot,2023-03-18T13:35:06Z,6
RTM3D,maudzung/RTM3D,https://github.com/maudzung/RTM3D,2023-03-04T05:56:40Z,0
PIXOR,philip-huang/PIXOR,https://github.com/philip-huang/PIXOR,2023-03-06T02:39:18Z,0
Pi_Self_Driving_Car,makelove/Pi_Self_Driving_Car,https://github.com/makelove/Pi_Self_Driving_Car,2023-03-17T01:42:06Z,0
DeepForSpeed,edilgin/DeepForSpeed,https://github.com/edilgin/DeepForSpeed,2023-03-11T16:25:25Z,0
Behavioral-Cloning,upul/Behavioral-Cloning,https://github.com/upul/Behavioral-Cloning,2022-11-04T17:04:28Z,0
waymo-motion-prediction-challenge-2022-multipath-plus-plus,stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,https://github.com/stepankonev/waymo-motion-prediction-challenge-2022-multipath-plus-plus,2023-03-17T07:25:21Z,0
tmrl,trackmania-rl/tmrl,https://github.com/trackmania-rl/tmrl,2023-03-09T12:15:13Z,15
Grid-GCN,Xharlie/Grid-GCN,https://github.com/Xharlie/Grid-GCN,2023-01-25T07:00:17Z,0
surround_vehicles_awareness,ndrplz/surround_vehicles_awareness,https://github.com/ndrplz/surround_vehicles_awareness,2023-01-21T09:14:51Z,0
BtcDet,Xharlie/BtcDet,https://github.com/Xharlie/BtcDet,2023-03-10T12:11:11Z,0
